SKU_ID,Product_Name,Type,Conductor_Material,Conductor_Area_mm2,Voltage_Rating_kV,Insulation,Armoured,No_of_Cores,Temperature_Range,Standard,Unit_Weight_kg_per_km,Unit_Price_per_km,Lead_Time_Days,Description
CBL061,3C x 95 sqmm LT Armoured Cable,LT Cable,Copper,95,1.1,XLPE,Yes,3,-10 to 70,IS 7098,1280,395000,18,"3 core 95 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy duty"
CBL064,3C x 120 sqmm LT Armoured Cable,LT Cable,Copper,120,1.1,XLPE,Yes,3,-10 to 70,IS 7098,1580,485000,20,"3 core 120 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 power"
CBL067,3C x 150 sqmm LT Armoured Cable,LT Cable,Copper,150,1.1,XLPE,Yes,3,-10 to 70,IS 7098,1950,595000,22,"3 core 150 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy"
CBL069,3C x 185 sqmm LT Armoured Cable,LT Cable,Copper,185,1.1,XLPE,Yes,3,-10 to 70,IS 7098,2350,725000,24,"3 core 185 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 power"
CBL071,3C x 240 sqmm LT Armoured Cable,LT Cable,Copper,240,1.1,XLPE,Yes,3,-10 to 70,IS 7098,2950,950000,28,"3 core 240 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy duty"
CBL074,3C x 300 sqmm LT Armoured Cable,LT Cable,Copper,300,1.1,XLPE,Yes,3,-10 to 70,IS 7098,3650,1180000,32,"3 core 300 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 industrial"
CBL076,3C x 400 sqmm LT Armoured Cable,LT Cable,Copper,400,1.1,XLPE,Yes,3,-10 to 70,IS 7098,4650,1520000,38,"3 core 400 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy"
CBL079,2C x 16 sqmm Power Cable,LT Cable,Copper,16,1.1,XLPE,Yes,2,-10 to 70,IS 7098,245,78000,9,"2 core 16 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL081,2C x 25 sqmm Power Cable,LT Cable,Copper,25,1.1,XLPE,Yes,2,-10 to 70,IS 7098,345,105000,10,"2 core 25 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL084,2C x 35 sqmm Power Cable,LT Cable,Copper,35,1.1,XLPE,Yes,2,-10 to 70,IS 7098,445,138000,12,"2 core 35 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL087,2C x 50 sqmm Power Cable,LT Cable,Copper,50,1.1,XLPE,Yes,2,-10 to 70,IS 7098,565,175000,14,"2 core 50 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL090,2C x 70 sqmm Power Cable,LT Cable,Copper,70,1.1,XLPE,Yes,2,-10 to 70,IS 7098,720,225000,15,"2 core 70 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL092,2C x 95 sqmm Power Cable,LT Cable,Copper,95,1.1,XLPE,Yes,2,-10 to 70,IS 7098,895,285000,16,"2 core 95 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL094,2C x 120 sqmm Power Cable,LT Cable,Copper,120,1.1,XLPE,Yes,2,-10 to 70,IS 7098,1080,345000,18,"2 core 120 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL096,2C x 150 sqmm Power Cable,LT Cable,Copper,150,1.1,XLPE,Yes,2,-10 to 70,IS 7098,1350,425000,20,"2 core 150 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL098,2C x 185 sqmm Power Cable,LT Cable,Copper,185,1.1,XLPE,Yes,2,-10 to 70,IS 7098,1620,515000,22,"2 core 185 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL100,2C x 240 sqmm Power Cable,LT Cable,Copper,240,1.1,XLPE,Yes,2,-10 to 70,IS 7098,2050,665000,25,"2 core 240 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL201,4C x 25 sqmm LT Power Cable 0.6kV,LT Cable,Aluminium,25,0.6,PVC,Yes,4,-10 to 70,IS 1554,300,85000,10,"4 core 25 sq mm aluminium LT power cable PVC insulated armoured 0.6kV IS 1554"
CBL202,4C x 35 sqmm LT Power Cable 0.6kV,LT Cable,Copper,35,0.6,XLPE,Yes,4,-10 to 70,IS 7098,450,135000,12,"4 core 35 sq mm copper LT power cable XLPE insulated armoured 0.6kV IS 7098"
CBL203,4C x 50 sqmm LT Power Cable 0.6kV,LT Cable,Copper,50,0.6,XLPE,Yes,4,-10 to 70,IS 7098,680,210000,14,"4 core 50 sq mm copper LT power cable XLPE insulated armoured 0.6kV IS 7098"
CBL204,4C x 70 sqmm LT Power Cable 0.6kV,LT Cable,Aluminium,70,0.6,XLPE,Yes,4,-10 to 70,IS 7098,920,275000,14,"4 core 70 sq mm aluminium LT power cable XLPE insulated armoured 0.6kV IS 7098"
CBL205,4C x 95 sqmm LT Power Cable 0.6kV,LT Cable,Aluminium,95,0.6,XLPE,Yes,4,-10 to 70,IS 7098,1200,360000,16,"4 core 95 sq mm aluminium LT power cable XLPE insulated armoured 0.6kV IS 7098"
CBL206,3C x 25 sqmm LT Armoured Cable 0.6kV,LT Cable,Copper,25,0.6,XLPE,Yes,3,-10 to 70,IS 7098,360,105000,10,"3 core 25 sq mm copper LT cable XLPE insulated armoured 0.6kV IS 7098"
CBL207,3C x 50 sqmm LT Armoured Cable 0.6kV,LT Cable,Copper,50,0.6,XLPE,Yes,3,-10 to 70,IS 7098,640,185000,12,"3 core 50 sq mm copper LT cable XLPE insulated armoured 0.6kV IS 7098"
CBL208,3C x 70 sqmm LT Armoured Cable 0.6kV,LT Cable,Copper,70,0.6,XLPE,Yes,3,-10 to 70,IS 7098,880,265000,14,"3 core 70 sq mm copper LT cable XLPE insulated armoured 0.6kV IS 7098"
CBL209,4C x 16 sqmm LT Power Cable 0.6kV,LT Cable,Copper,16,0.6,PVC,Yes,4,-10 to 70,IS 1554,235,72000,8,"4 core 16 sq mm copper LT power cable PVC insulated armoured 0.6kV IS 1554"
CBL210,4C x 120 sqmm LT Power Cable 0.6kV,LT Cable,Aluminium,120,0.6,XLPE,Yes,4,-10 to 70,IS 7098,1380,435000,16,"4 core 120 sq mm aluminium LT power cable XLPE insulated armoured 0.6kV IS 7098"
