SKU_ID,Product_Name,Type,Conductor_Material,Conductor_Area_mm2,Voltage_Rating_kV,Insulation,Armoured,No_of_Cores,Temperature_Range,Standard,Unit_Weight_kg_per_km,Unit_Price_per_km,Lead_Time_Days,Description
CBL050,1C x 70 sqmm HT XLPE Cable,HT Cable,Copper,70,11,XLPE,Yes,1,-10 to 90,IS 7098,620,295000,14,"Single core 70 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098 premium"
CBL051,4C x 2.5 sqmm LT Flexible Cable,LT Cable,Copper,2.5,1.1,PVC,No,4,-10 to 70,IS 694,55,18000,4,"4 core 2.5 sq mm copper flexible cable PVC insulated unarmoured 1.1kV IS 694"
CBL052,3C x 630 sqmm HT XLPE Cable,HT Cable,Aluminium,630,33,XLPE,Yes,3,-10 to 90,IS 7098,5100,4200000,45,"3 core 630 sq mm aluminium HT cable XLPE insulated armoured 33kV IS 7098 extra heavy"
CBL053,14C x 1.5 sqmm Control Cable,Control Cable,Copper,1.5,1.1,PVC,Yes,14,-10 to 70,IS 1554,265,92000,10,"14 core 1.5 sq mm copper control cable PVC insulated armoured 1.1kV IS 1554"
CBL054,4C x 400 sqmm LT Power Cable,LT Cable,Aluminium,400,1.1,XLPE,Yes,4,-10 to 70,IS 7098,4500,1450000,35,"4 core 400 sq mm aluminium LT power cable XLPE insulated armoured 1.1kV IS 7098"
CBL055,3C x 50 sqmm LT Armoured Cable,LT Cable,Copper,50,1.1,XLPE,Yes,3,-10 to 70,IS 7098,680,195000,14,"3 core 50 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 compliant"
CBL056,1C x 150 sqmm HT XLPE Cable,HT Cable,Aluminium,150,22,XLPE,Yes,1,-10 to 90,IS 7098,920,485000,18,"Single core 150 sq mm aluminium HT cable XLPE insulated 22kV armoured IS 7098"
CBL057,3C x 1.5 sqmm LT Flexible Cable,LT Cable,Copper,1.5,1.1,PVC,No,3,-10 to 70,IS 694,38,12000,3,"3 core 1.5 sq mm copper flexible cable PVC insulated unarmoured 1.1kV IS 694 wiring"
CBL058,4C x 1.5 sqmm LT Flexible Cable,LT Cable,Copper,1.5,1.1,PVC,No,4,-10 to 70,IS 694,45,14500,3,"4 core 1.5 sq mm copper flexible cable PVC insulated unarmoured 1.1kV IS 694 wiring"
CBL059,3C x 70 sqmm LT Armoured Cable,LT Cable,Copper,70,1.1,XLPE,Yes,3,-10 to 70,IS 7098,920,285000,16,"3 core 70 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 power"
CBL060,24C x 1.5 sqmm Control Cable,Control Cable,Copper,1.5,1.1,PVC,Yes,24,-10 to 70,IS 1554,420,155000,14,"24 core 1.5 sq mm copper multicore control cable PVC insulated armoured 1.1kV IS 1554"
CBL061,3C x 95 sqmm LT Armoured Cable,LT Cable,Copper,95,1.1,XLPE,Yes,3,-10 to 70,IS 7098,1280,395000,18,"3 core 95 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy duty"
CBL062,1C x 50 sqmm HT XLPE Cable,HT Cable,Copper,50,11,XLPE,Yes,1,-10 to 90,IS 7098,480,225000,12,"Single core 50 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098"
CBL063,4C x 1 sqmm Instrumentation Cable,Instrumentation Cable,Copper,1,0.6,PVC,Yes,4,-10 to 70,IS 1554,65,24000,5,"4 core 1 sq mm copper instrumentation cable PVC insulated shielded 600V process control"
CBL064,3C x 120 sqmm LT Armoured Cable,LT Cable,Copper,120,1.1,XLPE,Yes,3,-10 to 70,IS 7098,1580,485000,20,"3 core 120 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 power"
CBL065,1C x 35 sqmm HT XLPE Cable,HT Cable,Copper,35,11,XLPE,Yes,1,-10 to 90,IS 7098,385,175000,10,"Single core 35 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098"
CBL066,6C x 2.5 sqmm Control Cable,Control Cable,Copper,2.5,1.1,PVC,Yes,6,-10 to 70,IS 1554,155,55000,8,"6 core 2.5 sq mm copper control cable PVC insulated armoured 1.1kV IS 1554"
CBL067,3C x 150 sqmm LT Armoured Cable,LT Cable,Copper,150,1.1,XLPE,Yes,3,-10 to 70,IS 7098,1950,595000,22,"3 core 150 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy"
CBL068,1C x 25 sqmm HT XLPE Cable,HT Cable,Copper,25,11,XLPE,Yes,1,-10 to 90,IS 7098,320,135000,8,"Single core 25 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098"
CBL069,3C x 185 sqmm LT Armoured Cable,LT Cable,Copper,185,1.1,XLPE,Yes,3,-10 to 70,IS 7098,2350,725000,24,"3 core 185 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 power"
CBL070,16C x 2.5 sqmm Control Cable,Control Cable,Copper,2.5,1.1,PVC,Yes,16,-10 to 70,IS 1554,320,115000,11,"16 core 2.5 sq mm copper multicore control cable PVC insulated armoured 1.1kV IS 1554"
CBL071,3C x 240 sqmm LT Armoured Cable,LT Cable,Copper,240,1.1,XLPE,Yes,3,-10 to 70,IS 7098,2950,950000,28,"3 core 240 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy duty"
CBL072,1C x 16 sqmm HT XLPE Cable,HT Cable,Copper,16,11,XLPE,Yes,1,-10 to 90,IS 7098,265,95000,7,"Single core 16 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098"
CBL073,2C x 6 sqmm Instrumentation Cable,Instrumentation Cable,Copper,6,0.6,PVC,Yes,2,-10 to 70,IS 1554,95,35000,6,"2 core 6 sq mm copper instrumentation cable PVC insulated shielded 600V signal"
CBL074,3C x 300 sqmm LT Armoured Cable,LT Cable,Copper,300,1.1,XLPE,Yes,3,-10 to 70,IS 7098,3650,1180000,32,"3 core 300 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 industrial"
CBL075,4C x 2.5 sqmm Control Cable,Control Cable,Copper,2.5,1.1,PVC,Yes,4,-10 to 70,IS 1554,105,38000,6,"4 core 2.5 sq mm copper control cable PVC insulated armoured 1.1kV IS 1554"
CBL076,3C x 400 sqmm LT Armoured Cable,LT Cable,Copper,400,1.1,XLPE,Yes,3,-10 to 70,IS 7098,4650,1520000,38,"3 core 400 sq mm copper LT cable XLPE insulated armoured 1.1kV IS 7098 heavy"
CBL077,1C x 10 sqmm HT XLPE Cable,HT Cable,Copper,10,11,XLPE,Yes,1,-10 to 90,IS 7098,195,72000,6,"Single core 10 sq mm copper HT cable XLPE insulated 11kV armoured IS 7098 distribution"
CBL078,8C x 1.5 sqmm Control Cable,Control Cable,Copper,1.5,1.1,PVC,Yes,8,-10 to 70,IS 1554,165,58000,8,"8 core 1.5 sq mm copper control cable PVC insulated armoured 1.1kV IS 1554"
CBL079,2C x 16 sqmm Power Cable,LT Cable,Copper,16,1.1,XLPE,Yes,2,-10 to 70,IS 7098,245,78000,9,"2 core 16 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL080,37C x 2.5 sqmm Control Cable,Control Cable,Copper,2.5,1.1,PVC,Yes,37,-10 to 70,IS 1554,580,215000,16,"37 core 2.5 sq mm copper multicore control cable PVC insulated armoured 1.1kV IS 1554"
CBL081,2C x 25 sqmm Power Cable,LT Cable,Copper,25,1.1,XLPE,Yes,2,-10 to 70,IS 7098,345,105000,10,"2 core 25 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL082,3C x 16 sqmm HT XLPE Cable,HT Cable,Copper,16,11,XLPE,Yes,3,-10 to 90,IS 7098,485,285000,14,"3 core 16 sq mm copper HT cable XLPE insulated armoured 11kV IS 7098"
CBL083,6C x 1.5 sqmm Control Cable,Control Cable,Copper,1.5,1.1,PVC,Yes,6,-10 to 70,IS 1554,135,48000,7,"6 core 1.5 sq mm copper control cable PVC insulated armoured 1.1kV IS 1554"
CBL084,2C x 35 sqmm Power Cable,LT Cable,Copper,35,1.1,XLPE,Yes,2,-10 to 70,IS 7098,445,138000,12,"2 core 35 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL085,3C x 25 sqmm HT XLPE Cable,HT Cable,Copper,25,11,XLPE,Yes,3,-10 to 90,IS 7098,580,345000,15,"3 core 25 sq mm copper HT cable XLPE insulated armoured 11kV IS 7098"
CBL086,1C x 800 sqmm EHV XLPE Cable,EHV Cable,Aluminium,800,132,XLPE,Yes,1,-10 to 90,IEC 60840,4200,5800000,50,"Single core 800 sq mm aluminium EHV transmission cable 132kV XLPE insulated IEC 60840"
CBL087,2C x 50 sqmm Power Cable,LT Cable,Copper,50,1.1,XLPE,Yes,2,-10 to 70,IS 7098,565,175000,14,"2 core 50 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL088,3C x 35 sqmm HT XLPE Cable,HT Cable,Copper,35,11,XLPE,Yes,3,-10 to 90,IS 7098,680,420000,16,"3 core 35 sq mm copper HT cable XLPE insulated armoured 11kV IS 7098"
CBL089,1C x 1000 sqmm EHV XLPE Cable,EHV Cable,Aluminium,1000,220,XLPE,Yes,1,-10 to 90,IEC 62067,5500,7500000,60,"Single core 1000 sq mm aluminium EHV cable 220kV XLPE insulated IEC 62067 transmission"
CBL090,2C x 70 sqmm Power Cable,LT Cable,Copper,70,1.1,XLPE,Yes,2,-10 to 70,IS 7098,720,225000,15,"2 core 70 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL091,3C x 10 sqmm HT XLPE Cable,HT Cable,Copper,10,11,XLPE,Yes,3,-10 to 90,IS 7098,385,225000,12,"3 core 10 sq mm copper HT cable XLPE insulated armoured 11kV IS 7098"
CBL092,2C x 95 sqmm Power Cable,LT Cable,Copper,95,1.1,XLPE,Yes,2,-10 to 70,IS 7098,895,285000,16,"2 core 95 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL093,30C x 1.5 sqmm Control Cable,Control Cable,Copper,1.5,1.1,PVC,Yes,30,-10 to 70,IS 1554,485,178000,15,"30 core 1.5 sq mm copper multicore control cable PVC insulated armoured 1.1kV IS 1554"
CBL094,2C x 120 sqmm Power Cable,LT Cable,Copper,120,1.1,XLPE,Yes,2,-10 to 70,IS 7098,1080,345000,18,"2 core 120 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL095,3C x 6 sqmm HT XLPE Cable,HT Cable,Copper,6,6.6,XLPE,Yes,3,-10 to 90,IS 7098,285,165000,10,"3 core 6 sq mm copper HT cable XLPE insulated armoured 6.6kV IS 7098"
CBL096,2C x 150 sqmm Power Cable,LT Cable,Copper,150,1.1,XLPE,Yes,2,-10 to 70,IS 7098,1350,425000,20,"2 core 150 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL097,4C x 1.5 sqmm Control Cable,Control Cable,Copper,1.5,1.1,PVC,Yes,4,-10 to 70,IS 1554,85,32000,5,"4 core 1.5 sq mm copper control cable PVC insulated armoured 1.1kV IS 1554"
CBL098,2C x 185 sqmm Power Cable,LT Cable,Copper,185,1.1,XLPE,Yes,2,-10 to 70,IS 7098,1620,515000,22,"2 core 185 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"
CBL099,3C x 4 sqmm HT XLPE Cable,HT Cable,Copper,4,6.6,XLPE,Yes,3,-10 to 90,IS 7098,225,135000,8,"3 core 4 sq mm copper HT cable XLPE insulated armoured 6.6kV IS 7098"
CBL100,2C x 240 sqmm Power Cable,LT Cable,Copper,240,1.1,XLPE,Yes,2,-10 to 70,IS 7098,2050,665000,25,"2 core 240 sq mm copper power cable XLPE insulated armoured 1.1kV IS 7098"











